nodeName	altName	nodeAttr[nodesPresent, ]
Tb04.3I12.100	NA	tan
Tb05.5K5.140	NA	blue
Tb05.5K5.150	NA	cyan
Tb05.5K5.180	NA	turquoise
Tb05.5K5.190	NA	magenta
Tb05.5K5.20	NA	darkturquoise
Tb05.5K5.200	NA	orange
Tb05.5K5.260	NA	black
Tb05.5K5.70	NA	brown
Tb06.3A7.960	NA	turquoise
Tb07.11L3.100	NA	turquoise
Tb07.11L3.90	NA	brown
Tb08.27P2.110	NA	black
Tb09.v4.0009	NA	darkgrey
Tb09.v4.0013	NA	darkgreen
Tb09.v4.0017	NA	turquoise
Tb09.v4.0060	NA	red
Tb09.v4.0064	NA	turquoise
Tb09.v4.0065	NA	cyan
Tb09.v4.0151	NA	darkgreen
Tb09.v4.0152	NA	turquoise
Tb10.v4.0128	NA	orange
Tb11.02.5400	NA	white
Tb11.0380	NA	black
Tb11.0390	NA	darkgreen
Tb11.0400	NA	pink
Tb11.0880	NA	black
Tb11.1390	NA	black
Tb11.1420	NA	tan
Tb11.1790	NA	turquoise
Tb11.v5.0148	NA	blue
Tb11.v5.0218	NA	pink
Tb11.v5.0221	NA	pink
Tb11.v5.0287	NA	darkgreen
Tb11.v5.0288	NA	magenta
Tb11.v5.0296	NA	blue
Tb11.v5.0315	NA	magenta
Tb11.v5.0325	NA	lightyellow
Tb11.v5.0326	NA	green
Tb11.v5.0343	NA	turquoise
Tb11.v5.0344	NA	turquoise
Tb11.v5.0345	NA	turquoise
Tb11.v5.0346	NA	turquoise
Tb11.v5.0349	NA	turquoise
Tb11.v5.0366	NA	white
Tb11.v5.0394	NA	darkorange
Tb11.v5.0397	NA	black
Tb11.v5.0402	NA	turquoise
Tb11.v5.0404	NA	midnightblue
Tb11.v5.0411	NA	turquoise
Tb11.v5.0417	NA	darkgreen
Tb11.v5.0419	NA	red
Tb11.v5.0452	NA	green
Tb11.v5.0476	NA	blue
Tb11.v5.0489	NA	pink
Tb11.v5.0495	NA	turquoise
Tb11.v5.0505	NA	darkturquoise
Tb11.v5.0508	NA	darkgreen
Tb11.v5.0509	NA	cyan
Tb11.v5.0516	NA	red
Tb11.v5.0524	NA	cyan
Tb11.v5.0533	NA	turquoise
Tb11.v5.0543	NA	cyan
Tb11.v5.0553	NA	red
Tb11.v5.0576	NA	black
Tb11.v5.0578	NA	turquoise
Tb11.v5.0582	NA	magenta
Tb11.v5.0589	NA	pink
Tb11.v5.0591	NA	cyan
Tb11.v5.0602	NA	green
Tb11.v5.0603	NA	turquoise
Tb11.v5.0621	NA	cyan
Tb11.v5.0622	NA	pink
Tb11.v5.0636	NA	blue
Tb11.v5.0643	NA	blue
Tb11.v5.0652	NA	cyan
Tb11.v5.0653	NA	salmon
Tb11.v5.0655	NA	brown
Tb11.v5.0665	NA	darkgreen
Tb11.v5.0670	NA	lightgreen
Tb11.v5.0689	NA	pink
Tb11.v5.0693	NA	black
Tb11.v5.0702	NA	cyan
Tb11.v5.0703	NA	orange
Tb11.v5.0712	NA	orange
Tb11.v5.0713	NA	green
Tb11.v5.0720	NA	tan
Tb11.v5.0721	NA	darkgreen
Tb11.v5.0723	NA	tan
Tb11.v5.0726	NA	pink
Tb11.v5.0731	NA	turquoise
Tb11.v5.0748	NA	cyan
Tb11.v5.0780	NA	turquoise
Tb11.v5.0783	NA	turquoise
Tb11.v5.0784	NA	pink
Tb11.v5.0788	NA	turquoise
Tb11.v5.0800	NA	cyan
Tb11.v5.0820	NA	tan
Tb11.v5.0826	NA	turquoise
Tb11.v5.0830	NA	black
Tb11.v5.0831	NA	turquoise
Tb11.v5.0840	NA	orange
Tb11.v5.0858	NA	black
Tb11.v5.0869	NA	turquoise
Tb11.v5.0904	NA	brown
Tb11.v5.1011	NA	blue
Tb11.v5.1016	NA	black
Tb11.v5.1020	NA	brown
Tb11.v5.1036	NA	cyan
Tb11.v5.1038	NA	magenta
Tb11.v5.1046	NA	brown
Tb11.v5.1063	NA	black
Tb927.1.1000	NA	pink
Tb927.1.1010	NA	cyan
Tb927.1.1060	NA	turquoise
Tb927.1.1170	NA	darkgreen
Tb927.1.1175	NA	pink
Tb927.1.1200	NA	pink
Tb927.1.1230	NA	turquoise
Tb927.1.1420	NA	darkred
Tb927.1.1470	NA	pink
Tb927.1.1500	NA	pink
Tb927.1.1530	NA	darkgreen
Tb927.1.1540	NA	turquoise
Tb927.1.1550	NA	cyan
Tb927.1.1580	NA	purple
Tb927.1.1690	NA	green
Tb927.1.1730	NA	lightcyan
Tb927.1.1750	NA	darkturquoise
Tb927.1.1770	NA	lightcyan
Tb927.1.1790	NA	black
Tb927.1.1820	NA	lightyellow
Tb927.1.1850	NA	black
Tb927.1.1880	NA	greenyellow
Tb927.1.1890	NA	greenyellow
Tb927.1.1920	NA	tan
Tb927.1.1930	NA	darkred
Tb927.1.1960	NA	darkorange
Tb927.1.1990	NA	blue
Tb927.1.2110	NA	blue
Tb927.1.2150	NA	red
Tb927.1.2160	NA	red
Tb927.1.2190	NA	darkgrey
Tb927.1.2210	NA	black
Tb927.1.2230	NA	darkgreen
Tb927.1.2260	NA	pink
Tb927.1.2310	NA	darkgrey
Tb927.1.2390	NA	turquoise
Tb927.1.2420	NA	lightcyan
Tb927.1.2580	NA	turquoise
Tb927.1.2600	NA	magenta
Tb927.1.2640	NA	pink
Tb927.1.2670	NA	red
Tb927.1.270	NA	purple
Tb927.1.2700	NA	midnightblue
Tb927.1.2710	NA	darkred
Tb927.1.2730	NA	magenta
Tb927.1.2740	NA	tan
Tb927.1.2750	NA	turquoise
Tb927.1.2760	NA	turquoise
Tb927.1.2770	NA	pink
Tb927.1.2820	NA	black
Tb927.1.2850	NA	darkgreen
Tb927.1.2880	NA	brown
Tb927.1.2985	NA	turquoise
Tb927.1.2990	NA	lightcyan
Tb927.1.3000	NA	green
Tb927.1.3030	NA	turquoise
Tb927.1.3040	NA	turquoise
Tb927.1.3070	NA	pink
Tb927.1.3130	NA	turquoise
Tb927.1.3150	NA	red
Tb927.1.3170	NA	black
Tb927.1.3180	NA	black
Tb927.1.3220	NA	green
Tb927.1.3250	NA	grey60
Tb927.1.3260	NA	greenyellow
Tb927.1.3280	NA	cyan
Tb927.1.3290	NA	greenyellow
Tb927.1.3320	NA	orange
Tb927.1.3390	NA	turquoise
Tb927.1.3400	NA	turquoise
Tb927.1.3410	NA	darkgreen
Tb927.1.3450	NA	pink
Tb927.1.3760	NA	brown
Tb927.1.3800	NA	red
Tb927.1.3830	NA	green
Tb927.1.3850	NA	turquoise
Tb927.1.3950	NA	green
Tb927.1.40	NA	orange
Tb927.1.4010	NA	darkturquoise
Tb927.1.4020	NA	pink
Tb927.1.4050	NA	royalblue
Tb927.1.4100	NA	pink
Tb927.1.4140	NA	blue
Tb927.1.4180	NA	magenta
Tb927.1.420	NA	turquoise
Tb927.1.4230	NA	green
Tb927.1.4250	NA	lightcyan
Tb927.1.4280	NA	brown
Tb927.1.4300	NA	pink
Tb927.1.4310	NA	darkgrey
Tb927.1.4380	NA	turquoise
Tb927.1.4420	NA	green
Tb927.1.4470	NA	turquoise
Tb927.1.4480	NA	greenyellow
Tb927.1.4490	NA	tan
Tb927.1.4500	NA	blue
Tb927.1.4520	NA	tan
Tb927.1.4650	NA	turquoise
Tb927.1.4680	NA	brown
Tb927.1.4690	NA	black
Tb927.1.4700	NA	lightyellow
Tb927.1.4710	NA	pink
Tb927.1.4740	NA	lightyellow
Tb927.1.4780	NA	black
Tb927.1.4800	NA	darkred
Tb927.1.4830	NA	pink
Tb927.1.4890	NA	turquoise
Tb927.1.490	NA	cyan
Tb927.1.4900	NA	turquoise
Tb927.1.4910	NA	turquoise
Tb927.1.5000	NA	black
Tb927.1.5100	NA	turquoise
Tb927.1.5110	NA	turquoise
Tb927.1.5120	NA	turquoise
Tb927.1.5150	NA	cyan
Tb927.1.5170	NA	turquoise
Tb927.1.530	NA	black
Tb927.1.540	NA	red
Tb927.1.580	NA	midnightblue
Tb927.1.600	NA	purple
Tb927.1.610	NA	magenta
Tb927.1.640	NA	cyan
Tb927.1.690	NA	red
Tb927.1.70	NA	turquoise
Tb927.1.700	NA	turquoise
Tb927.1.710	NA	brown
Tb927.1.720	NA	black
Tb927.1.730	NA	turquoise
Tb927.1.740	NA	darkgrey
Tb927.1.790	NA	black
Tb927.1.800	NA	pink
Tb927.1.840	NA	turquoise
Tb927.1.880	NA	darkgrey
Tb927.1.990	NA	tan
Tb927.10.1000	NA	black
Tb927.10.10000	NA	tan
Tb927.10.10010	NA	pink
Tb927.10.10030	NA	tan
Tb927.10.10040	NA	brown
Tb927.10.10090	NA	red
Tb927.10.10100	NA	cyan
Tb927.10.10110	NA	turquoise
Tb927.10.10120	NA	turquoise
Tb927.10.10150	NA	red
Tb927.10.10170	NA	blue
Tb927.10.10180	NA	turquoise
Tb927.10.10190	NA	cyan
Tb927.10.10240	NA	darkgrey
Tb927.10.10250	NA	pink
Tb927.10.10260	NA	black
Tb927.10.10280	NA	pink
Tb927.10.10330	NA	tan
Tb927.10.10340	NA	magenta
Tb927.10.10360	NA	magenta
Tb927.10.10380	NA	cyan
Tb927.10.10390	NA	cyan
Tb927.10.10410	NA	darkturquoise
Tb927.10.10590	NA	greenyellow
Tb927.10.1060	NA	pink
Tb927.10.10600	NA	orange
Tb927.10.10610	NA	turquoise
Tb927.10.10630	NA	pink
Tb927.10.10640	NA	blue
Tb927.10.10670	NA	blue
Tb927.10.10710	NA	purple
Tb927.10.10720	NA	turquoise
Tb927.10.10770	NA	green
Tb927.10.10780	NA	turquoise
Tb927.10.1080	NA	purple
Tb927.10.10800	NA	black
Tb927.10.10820	NA	green
Tb927.10.1090	NA	green
Tb927.10.10990	NA	magenta
Tb927.10.1100	NA	lightyellow
Tb927.10.11000	NA	midnightblue
Tb927.10.11010	NA	tan
Tb927.10.11020	NA	magenta
Tb927.10.11030	NA	turquoise
Tb927.10.11060	NA	blue
Tb927.10.11080	NA	darkred
Tb927.10.11100	NA	royalblue
Tb927.10.11110	NA	darkred
Tb927.10.11140	NA	brown
Tb927.10.11150	NA	darkturquoise
Tb927.10.11160	NA	blue
Tb927.10.11170	NA	grey60
Tb927.10.1120	NA	lightcyan
Tb927.10.11210	NA	black
Tb927.10.11220	NA	darkred
Tb927.10.11230	NA	brown
Tb927.10.11250	NA	red
Tb927.10.11310	NA	brown
Tb927.10.11330	NA	turquoise
Tb927.10.11380	NA	brown
Tb927.10.11390	NA	lightyellow
Tb927.10.11400	NA	turquoise
Tb927.10.11410	NA	yellow
Tb927.10.11440	NA	black
Tb927.10.11450	NA	pink
Tb927.10.11460	NA	lightcyan
Tb927.10.11530	NA	cyan
Tb927.10.11540	NA	black
Tb927.10.11580	NA	darkgrey
Tb927.10.1160	NA	turquoise
Tb927.10.11630	NA	black
Tb927.10.11650	NA	darkred
Tb927.10.11670	NA	blue
Tb927.10.11690	NA	brown
Tb927.10.11700	NA	darkturquoise
Tb927.10.11730	NA	darkorange
Tb927.10.11760	NA	black
Tb927.10.11770	NA	purple
Tb927.10.11780	NA	lightcyan
Tb927.10.11810	NA	green
Tb927.10.11830	NA	blue
Tb927.10.11850	NA	red
Tb927.10.11860	NA	greenyellow
Tb927.10.11870	NA	black
Tb927.10.11880	NA	blue
Tb927.10.11920	NA	blue
Tb927.10.11930	NA	turquoise
Tb927.10.11940	NA	turquoise
Tb927.10.11950	NA	tan
Tb927.10.11970	NA	black
Tb927.10.11980	NA	turquoise
Tb927.10.11990	NA	pink
Tb927.10.12010	NA	turquoise
Tb927.10.12020	NA	brown
Tb927.10.12060	NA	pink
Tb927.10.12080	NA	black
Tb927.10.1210	NA	darkturquoise
Tb927.10.12100	NA	turquoise
Tb927.10.12110	NA	midnightblue
Tb927.10.12120	NA	greenyellow
Tb927.10.12130	NA	red
Tb927.10.12150	NA	blue
Tb927.10.12160	NA	turquoise
Tb927.10.12170	NA	black
Tb927.10.12180	NA	red
Tb927.10.12190	NA	brown
Tb927.10.1220	NA	orange
Tb927.10.12200	NA	turquoise
Tb927.10.12210	NA	brown
Tb927.10.12220	NA	turquoise
Tb927.10.12230	NA	tan
Tb927.10.12240	NA	pink
Tb927.10.12260	NA	black
Tb927.10.12270	NA	orange
Tb927.10.1230	NA	blue
Tb927.10.12320	NA	tan
Tb927.10.12350	NA	blue
Tb927.10.12370	NA	black
Tb927.10.12380	NA	tan
Tb927.10.12390	NA	magenta
Tb927.10.1240	NA	greenyellow
Tb927.10.12400	NA	black
Tb927.10.12410	NA	tan
Tb927.10.12430	NA	royalblue
Tb927.10.12440	NA	tan
Tb927.10.12450	NA	darkgreen
Tb927.10.12470	NA	darkgrey
Tb927.10.1250	NA	turquoise
Tb927.10.12510	NA	brown
Tb927.10.12530	NA	lightyellow
Tb927.10.12600	NA	turquoise
Tb927.10.12620	NA	darkred
Tb927.10.12630	NA	tan
Tb927.10.12650	NA	pink
Tb927.10.12660	NA	darkgreen
Tb927.10.12680	NA	black
Tb927.10.12690	NA	green
Tb927.10.12700	NA	green
Tb927.10.12710	NA	greenyellow
Tb927.10.12740	NA	darkred
Tb927.10.12750	NA	magenta
Tb927.10.12760	NA	darkturquoise
Tb927.10.12780	NA	black
Tb927.10.1280	NA	cyan
Tb927.10.12800	NA	turquoise
Tb927.10.12810	NA	black
Tb927.10.12820	NA	red
Tb927.10.12840	NA	lightyellow
Tb927.10.12850	NA	brown
Tb927.10.12860	NA	darkred
Tb927.10.12880	NA	turquoise
Tb927.10.12890	NA	red
Tb927.10.12930	NA	pink
Tb927.10.12960	NA	blue
Tb927.10.12990	NA	green
Tb927.10.1300	NA	blue
Tb927.10.13020	NA	purple
Tb927.10.13040	NA	black
Tb927.10.13060	NA	brown
Tb927.10.13090	NA	turquoise
Tb927.10.13100	NA	greenyellow
Tb927.10.13130	NA	black
Tb927.10.13140	NA	black
Tb927.10.13150	NA	darkred
Tb927.10.13180	NA	pink
Tb927.10.13200	NA	cyan
Tb927.10.13220	NA	pink
Tb927.10.13230	NA	red
Tb927.10.13240	NA	blue
Tb927.10.13250	NA	greenyellow
Tb927.10.13260	NA	greenyellow
Tb927.10.13280	NA	grey60
Tb927.10.13290	NA	blue
Tb927.10.13300	NA	pink
Tb927.10.13320	NA	orange
Tb927.10.13330	NA	royalblue
Tb927.10.13335	NA	darkgreen
Tb927.10.13350	NA	royalblue
Tb927.10.13360	NA	darkgrey
Tb927.10.13380	NA	tan
Tb927.10.13390	NA	brown
Tb927.10.1340	NA	tan
Tb927.10.13400	NA	turquoise
Tb927.10.13410	NA	tan
Tb927.10.13420	NA	tan
Tb927.10.13430	NA	tan
Tb927.10.13440	NA	magenta
Tb927.10.13450	NA	lightcyan
Tb927.10.13470	NA	darkgrey
Tb927.10.13480	NA	blue
Tb927.10.1350	NA	red
Tb927.10.13500	NA	black
Tb927.10.13513	NA	orange
Tb927.10.13517	NA	lightyellow
Tb927.10.13520	NA	magenta
Tb927.10.13530	NA	yellow
Tb927.10.13540	NA	darkgreen
Tb927.10.13550	NA	pink
Tb927.10.13590	NA	blue
Tb927.10.13600	NA	black
Tb927.10.13610	NA	red
Tb927.10.13620	NA	turquoise
Tb927.10.13630	NA	red
Tb927.10.13670	NA	darkred
Tb927.10.13680	NA	pink
Tb927.10.1370	NA	turquoise
Tb927.10.13700	NA	turquoise
Tb927.10.13710	NA	magenta
Tb927.10.13720	NA	darkred
Tb927.10.13740	NA	darkturquoise
Tb927.10.13750	NA	cyan
Tb927.10.13790	NA	green
Tb927.10.13800	NA	salmon
Tb927.10.13820	NA	lightyellow
Tb927.10.13830	NA	brown
Tb927.10.13840	NA	magenta
Tb927.10.13850	NA	turquoise
Tb927.10.13860	NA	midnightblue
Tb927.10.1390	NA	orange
