modGenes	module	colourRGB
Tb04.3I12.100	tan	#D2B48C
Tb05.30F7.410	brown	#A52A2A
Tb05.5K5.110	grey60	#999999
Tb05.5K5.130	lightgreen	#90EE90
Tb05.5K5.140	blue	#0000FF
Tb05.5K5.150	cyan	#00FFFF
Tb05.5K5.180	turquoise	#40E0D0
Tb05.5K5.190	magenta	#FF00FF
Tb05.5K5.20	darkturquoise	#00CED1
Tb05.5K5.200	orange	#FFA500
Tb05.5K5.210	green	#00FF00
Tb05.5K5.220	green	#00FF00
Tb05.5K5.240	grey	#BEBEBE
Tb05.5K5.260	black	#000000
Tb05.5K5.70	brown	#A52A2A
Tb05.5K5.90	cyan	#00FFFF
Tb06.3A7.270	grey60	#999999
Tb06.3A7.960	turquoise	#40E0D0
Tb07.11L3.100	turquoise	#40E0D0
Tb07.11L3.90	brown	#A52A2A
Tb08.27P2.110	black	#000000
Tb09.v4.0009	darkgrey	#A9A9A9
Tb09.v4.0013	darkgreen	#006400
Tb09.v4.0017	turquoise	#40E0D0
Tb09.v4.0059	yellow	#FFFF00
Tb09.v4.0060	red	#FF0000
Tb09.v4.0064	turquoise	#40E0D0
Tb09.v4.0065	cyan	#00FFFF
Tb09.v4.0066	brown	#A52A2A
Tb09.v4.0151	darkgreen	#006400
Tb09.v4.0152	turquoise	#40E0D0
Tb10.v4.0037	red	#FF0000
Tb10.v4.0128	orange	#FFA500
Tb10.v4.0215	brown	#A52A2A
Tb10.v4.0218	brown	#A52A2A
Tb10.v4.0221	green	#00FF00
Tb10.v4.0245	green	#00FF00
Tb11.01.2730	yellow	#FFFF00
Tb11.01.6250	midnightblue	#191970
Tb11.02.5050b	blue	#0000FF
Tb11.02.5400	white	#FFFFFF
Tb11.02.5420b	lightgreen	#90EE90
Tb11.0330	brown	#A52A2A
Tb11.0370	blue	#0000FF
Tb11.0380	black	#000000
Tb11.0390	darkgreen	#006400
Tb11.0400	pink	#FFC0CB
Tb11.0420	orange	#FFA500
Tb11.0880	black	#000000
Tb11.1390	black	#000000
Tb11.1420	tan	#D2B48C
Tb11.15.0008b	red	#FF0000
Tb11.1780	yellow	#FFFF00
Tb11.1790	turquoise	#40E0D0
Tb11.v4.0044	brown	#A52A2A
Tb11.v5.0148	blue	#0000FF
Tb11.v5.0154	green	#00FF00
Tb11.v5.0160	brown	#A52A2A
