"transcript_id","SRR039378","SRR039381","SRR039453","SRR039454","SRR039455","SRR039456","SRR039457","SRR039939","SRR039940","SRR039948","SRR039949","SRR039950","SRR039952","SRR042429","SRR965341"
"Tb04.24M18.150:mRNA",6,3,9,2,4,2,1,5,5,6,1,0,6,2,141
"Tb04.3I12.100:mRNA",5,3,7,2,0,4,7,12,9,8,1,4,5,3,42
"Tb05.30F7.410:mRNA",9,17,11,8,12,3,4,20,14,6,13,3,19,4,33
"Tb05.5K5.10:mRNA",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Tb05.5K5.100:mRNA",2,3,0,0,0,0,0,2,1,0,0,0,0,1,30
"Tb05.5K5.110:mRNA",41,33,36,24,22,14,16,31,38,14,20,7,18,29,359
"Tb05.5K5.120:mRNA",1,3,2,1,1,1,1,4,5,2,0,0,3,1,77
"Tb05.5K5.130:mRNA",7,13,12,9,8,2,7,10,19,8,4,6,12,7,878
"Tb05.5K5.140:mRNA",5,9,11,4,2,4,3,38,32,3,2,6,15,13,92
"Tb05.5K5.150:mRNA",1,2,2,7,1,1,1,28,20,0,1,3,7,10,621
"Tb05.5K5.160:mRNA",2,0,4,0,0,0,1,4,2,1,0,0,2,2,86
"Tb05.5K5.170:mRNA",0,0,0,0,0,0,0,0,0,0,0,0,1,0,25
"Tb05.5K5.180:mRNA",13,17,7,3,5,1,4,42,42,1,2,3,32,2,98
"Tb05.5K5.190:mRNA",93,95,110,71,80,84,99,85,115,82,60,61,54,91,624
"Tb05.5K5.20:mRNA",58,57,54,48,48,36,37,58,58,39,37,20,27,39,460
"Tb05.5K5.200:mRNA",67,64,54,37,30,18,23,38,33,19,32,9,15,24,29
"Tb05.5K5.210:mRNA",14,12,12,8,13,6,6,18,24,5,11,5,16,11,280
"Tb05.5K5.220:mRNA",15,13,6,17,16,8,3,28,30,7,11,7,19,12,448
"Tb05.5K5.240:mRNA",3,3,5,9,4,4,3,26,12,6,8,4,6,9,49
"Tb05.5K5.250:mRNA",5,1,2,1,0,1,0,3,4,1,2,1,3,2,22
"Tb05.5K5.260:mRNA",13,12,10,12,15,3,4,7,5,7,8,2,7,1,25
"Tb05.5K5.290:mRNA",1,2,4,9,3,2,5,10,3,1,2,1,3,0,22
"Tb05.5K5.30:mRNA",7,15,10,7,4,4,3,11,7,6,5,3,2,6,283
"Tb05.5K5.320:mRNA",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Tb05.5K5.40:mRNA",0,2,2,1,0,0,0,2,1,0,9,3,3,1,15
"Tb05.5K5.430:mRNA",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Tb05.5K5.460:mRNA",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Tb05.5K5.50:mRNA",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Tb05.5K5.530:mRNA",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Tb05.5K5.60:mRNA",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Tb05.5K5.70:mRNA",41,45,36,37,45,7,14,37,29,32,34,5,22,25,617
"Tb05.5K5.80:mRNA",1,1,4,0,2,0,0,5,3,6,4,0,0,1,135
"Tb05.5K5.90:mRNA",13,9,14,15,6,8,4,31,22,8,10,5,20,9,226
"Tb06.3A7.270:mRNA",52,72,60,29,31,26,19,31,43,35,25,11,25,24,1267
"Tb06.3A7.960:mRNA",53,88,57,79,63,66,47,391,387,40,63,41,185,66,1694
"Tb07.11L3.100:mRNA",313,268,301,200,179,130,105,1028,871,138,151,90,518,157,5587
"Tb07.11L3.90:mRNA",131,111,133,59,57,21,22,83,58,28,46,12,47,19,377
"Tb08.27P2.110:mRNA",25,16,27,31,45,10,7,19,28,13,20,2,10,6,64
"Tb08.27P2.140:mRNA",0,0,0,0,2,0,0,0,1,0,0,0,1,0,3
"Tb08.27P2.220:mRNA",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Tb08.27P2.240:mRNA",0,0,0,0,0,0,1,1,0,0,0,0,0,0,0
"Tb08.27P2.260:mRNA",0,0,0,0,0,0,0,16,21,0,0,0,10,0,2
"Tb08.27P2.290:mRNA",1,0,0,1,1,0,0,1,1,0,0,0,0,0,0
"Tb08.27P2.460:mRNA",0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
"Tb08.27P2.50:mRNA",0,0,0,0,0,0,0,1,2,0,1,0,2,0,18
"Tb08.27P2.60:mRNA",2,0,2,1,1,1,1,2,1,0,1,0,1,0,7
"Tb08.27P2.670:mRNA",1,1,0,0,0,0,0,1,1,0,0,0,1,1,0
"Tb08.27P2.70:mRNA",5,4,14,8,7,4,2,5,4,5,8,2,2,1,32
"Tb08.27P2.80:mRNA",0,0,0,1,0,0,0,2,0,1,2,0,0,0,3
"Tb08.27P2.90:mRNA",1,1,3,2,8,0,1,2,3,1,1,0,1,0,61
"Tb09.v4.0009:mRNA",17,21,12,10,15,6,4,4,6,15,6,1,1,7,78
"Tb09.v4.0010:mRNA",0,0,0,0,0,0,0,0,0,0,0,0,0,0,17
"Tb09.v4.0011:mRNA",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Tb09.v4.0012:mRNA",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Tb09.v4.0013:mRNA",20,24,35,25,32,12,8,38,27,10,25,13,17,19,87
"Tb09.v4.0014:mRNA",5,8,5,10,7,4,2,3,7,4,6,1,6,5,23
"Tb09.v4.0015:mRNA",6,1,5,5,4,0,1,12,15,2,4,0,9,4,296
"Tb09.v4.0016:mRNA",1,2,2,1,2,0,5,6,6,1,1,1,7,0,42
"Tb09.v4.0017:mRNA",14,12,12,7,14,9,4,42,35,6,11,3,23,8,517
"Tb09.v4.0018:mRNA",0,5,5,1,2,3,3,4,8,2,5,0,2,1,36
"Tb09.v4.0020:mRNA",3,3,2,1,1,0,4,7,7,4,2,0,5,1,63
"Tb09.v4.0023:mRNA",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Tb09.v4.0026:mRNA",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Tb09.v4.0030:mRNA",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Tb09.v4.0031:mRNA",0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
"Tb09.v4.0050:mRNA",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Tb09.v4.0051:mRNA",0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
"Tb09.v4.0053:mRNA",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Tb09.v4.0058:mRNA",0,0,5,0,1,0,0,1,2,0,0,0,5,0,30
"Tb09.v4.0059:mRNA",3,1,7,16,4,10,5,17,30,1,5,4,6,5,107
"Tb09.v4.0060:mRNA",4,2,5,10,15,11,15,18,22,3,10,8,10,24,232
"Tb09.v4.0064:mRNA",7,8,7,4,5,4,2,41,35,5,7,1,18,4,116
"Tb09.v4.0065:mRNA",12,14,13,14,9,10,9,54,45,3,10,3,29,11,192
"Tb09.v4.0066:mRNA",38,38,40,22,39,14,30,100,106,14,40,12,51,33,185
"Tb09.v4.0073:mRNA",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Tb09.v4.0077:mRNA",0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
"Tb09.v4.0080:mRNA",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Tb09.v4.0086:mRNA",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Tb09.v4.0088:mRNA",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Tb09.v4.0102:mRNA",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Tb09.v4.0105:mRNA",0,1,0,0,0,1,0,1,0,0,0,0,1,0,3
"Tb09.v4.0106:mRNA",0,0,0,1,0,0,0,0,0,0,0,0,1,0,21
"Tb09.v4.0107:mRNA",1,0,0,4,0,0,2,2,2,0,2,0,3,1,86
"Tb09.v4.0109:mRNA",1,1,1,0,1,1,0,2,6,0,3,1,2,0,62
"Tb09.v4.0110:mRNA",3,0,0,0,1,0,2,1,0,0,0,0,1,2,5
"Tb09.v4.0113:mRNA",0,0,0,1,0,0,0,0,0,0,0,0,0,0,1
"Tb09.v4.0114:mRNA",0,0,0,0,0,0,0,0,0,0,0,0,1,0,3
"Tb09.v4.0124:mRNA",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Tb09.v4.0136:mRNA",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Tb09.v4.0142:mRNA",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Tb09.v4.0146:mRNA",2,0,1,0,2,1,0,2,1,0,1,2,1,4,128
"Tb09.v4.0147:mRNA",0,2,0,1,0,2,1,1,0,0,1,2,1,1,15
"Tb09.v4.0148:mRNA",0,0,0,0,1,1,1,1,0,0,0,0,0,0,0
"Tb09.v4.0149:mRNA",1,2,3,1,1,3,1,3,1,1,1,1,1,2,43
"Tb09.v4.0151:mRNA",32,38,35,49,58,23,16,40,36,21,40,10,19,19,47
"Tb09.v4.0152:mRNA",9,7,9,4,7,4,6,33,36,5,7,3,18,6,128
"Tb09.v4.0153:mRNA",3,3,5,1,3,1,1,5,3,1,1,0,3,1,54
"Tb09.v4.0166:mRNA",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Tb09.v4.0177:mRNA",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
