nodeName	altName	nodeAttr[nodesPresent, ]
Tb04.3I12.100:mRNA	NA	tan
Tb05.5K5.140:mRNA	NA	blue
Tb05.5K5.150:mRNA	NA	cyan
Tb05.5K5.180:mRNA	NA	turquoise
Tb05.5K5.190:mRNA	NA	magenta
Tb05.5K5.20:mRNA	NA	darkturquoise
Tb05.5K5.200:mRNA	NA	orange
Tb05.5K5.260:mRNA	NA	black
Tb05.5K5.70:mRNA	NA	brown
Tb06.3A7.960:mRNA	NA	turquoise
Tb07.11L3.100:mRNA	NA	turquoise
Tb07.11L3.90:mRNA	NA	brown
Tb08.27P2.110:mRNA	NA	black
Tb09.v4.0009:mRNA	NA	darkgrey
Tb09.v4.0013:mRNA	NA	darkgreen
Tb09.v4.0017:mRNA	NA	turquoise
Tb09.v4.0060:mRNA	NA	red
Tb09.v4.0064:mRNA	NA	turquoise
Tb09.v4.0065:mRNA	NA	cyan
Tb09.v4.0151:mRNA	NA	darkgreen
Tb09.v4.0152:mRNA	NA	turquoise
Tb10.v4.0128:mRNA	NA	orange
Tb11.02.5400:mRNA	NA	white
Tb11.0380:mRNA	NA	black
Tb11.0390:mRNA	NA	darkgreen
Tb11.0400:mRNA	NA	pink
Tb11.0880:mRNA	NA	black
Tb11.1390.1	NA	black
Tb11.1420:mRNA	NA	tan
Tb11.1790.1	NA	turquoise
Tb11.v5.0148.1	NA	blue
Tb11.v5.0218.1	NA	pink
Tb11.v5.0221.1	NA	pink
Tb11.v5.0287.1	NA	darkgreen
Tb11.v5.0288.1	NA	magenta
Tb11.v5.0296.1	NA	blue
Tb11.v5.0315.1	NA	magenta
Tb11.v5.0325.1	NA	lightyellow
Tb11.v5.0326.1	NA	green
Tb11.v5.0343.1	NA	turquoise
Tb11.v5.0344.1	NA	turquoise
Tb11.v5.0345.1	NA	turquoise
Tb11.v5.0346.1	NA	turquoise
Tb11.v5.0349.1	NA	turquoise
Tb11.v5.0366.1	NA	white
Tb11.v5.0394.1	NA	darkorange
Tb11.v5.0397.1	NA	black
Tb11.v5.0402.1	NA	turquoise
