Sample	unpaired_total	unpaired_aligned_none	unpaired_aligned_one	unpaired_aligned_multi	overall_alignment_rate
SRR039378	23511887	11808700	7785598	3917589	49.78
SRR039381	22901255	11471902	7588587	3840766	49.91
SRR039453	23916797	11897510	7923683	4095604	50.25
SRR039454	23539950	12125373	7335085	4079492	48.49
SRR039455	22913817	11801256	7148941	3963620	48.5
SRR039456	23752504	16911444	4617696	2223364	28.8
SRR039457	23402976	16650835	4588316	2163825	28.85
SRR039937	23758588	15124625	4402158	4231805	36.34
SRR039938	22976318	14635560	4243404	4097354	36.3
SRR039939	28002507	15235518	4912428	7854561	45.59
SRR039940	25959677	14054212	4544870	7360595	45.86
SRR039948	12311281	6210643	3884851	2215787	49.55
SRR039949	19298724	9968402	6104149	3226173	48.35
SRR039950	15129345	10767352	2944657	1417336	28.83
SRR039951	8102592	5085744	1425436	1591412	37.23
SRR039952	15479622	8432166	2710692	4336764	45.53
SRR042429	30441386	21610157	6094151	2737078	29.01
