Sample	no_feature	ambiguous	too_low_aQual	not_aligned	alignment_not_unique	assigned	total_count	percent_assigned
SRR039378	6711126	94034	0	11808700	3917589	980438	23511887	4.169967302071501
SRR039381	6529852	93979	0	11471902	3840766	964756	22901255	4.2126774275034276
SRR039453	6797381	91415	0	11897510	4095604	1034887	23916797	4.327030078484172
SRR039454	6464236	78435	0	12125373	4079492	792414	23539950	3.3662518399571795
SRR039455	6299175	80263	0	11801256	3963620	769503	22913817	3.3582488679210454
SRR039456	4160162	25290	0	16911444	2223364	432244	23752504	1.8197828742603304
SRR039457	4138475	26960	0	16650835	2163825	422881	23402976	1.8069539532066348
SRR039937	2228869	234665	0	15124625	4231805	1938624	23758588	8.159676829279586
SRR039938	2154937	217685	0	14635560	4097354	1870782	22976318	8.142218435521304
SRR039939	3258279	250720	0	15235518	7854561	1403429	28002507	5.011797693685069
SRR039940	2959057	279214	0	14054212	7360595	1306599	25959677	5.033186660989657
SRR039948	3195705	86688	0	6210643	2215787	602458	12311281	4.893544384211522
SRR039949	5418724	62925	0	9968402	3226173	622500	19298724	3.2256018584441124
SRR039950	2641195	16688	0	10767352	1417336	286774	15129345	1.8954819260186082
SRR039951	645239	129734	0	5085744	1591412	650463	8102592	8.0278384990877
SRR039952	1726919	185848	0	8432166	4336764	797925	15479622	5.154680133662178
SRR042429	5529547	38546	0	21610157	2737078	526058	30441386	1.7281013420348206
