Sample	HTSeq Count_mqc-generalstats-htseq_count-percent_assigned	HTSeq Count_mqc-generalstats-htseq_count-assigned	HISAT2_mqc-generalstats-hisat2-overall_alignment_rate	FastQC_mqc-generalstats-fastqc-percent_duplicates	FastQC_mqc-generalstats-fastqc-percent_gc	FastQC_mqc-generalstats-fastqc-avg_sequence_length	FastQC_mqc-generalstats-fastqc-percent_fails	FastQC_mqc-generalstats-fastqc-total_sequences
SRR039378	4.169924770393801	980428	49.78	59.04872294515995	42.0	74.0	33.33333333333333	23511887.0
SRR039381	4.2126774275034276	964756	49.91	67.00705837165305	43.0	74.0	33.33333333333333	22901255.0
SRR039453	4.3270258973222875	1034886	50.25	70.29731009067635	43.0	74.0	25.0	23916797.0
SRR039454	3.3662390956650285	792411	48.49	72.89324216164633	43.0	74.0	16.666666666666664	23539950.0
SRR039455	3.3582488679210454	769503	48.5	73.24168878062721	43.0	74.0	16.666666666666664	22913817.0
SRR039456	1.8197828742603304	432244	28.8	75.47031080809396	43.0	74.0	25.0	23752504.0
SRR039457	1.8069539532066348	422881	28.85	74.53637088544266	43.0	74.0	33.33333333333333	23402976.0
SRR039937	8.159676829279586	1938624	36.34	83.23421808599971	45.0	74.0	16.666666666666664	23758588.0
SRR039938	8.142222787828755	1870783	36.3	84.74830740704411	45.0	74.0	25.0	22976318.0
SRR039939	5.011804835902729	1403431	45.59	76.35319734386024	45.0	74.0	16.666666666666664	28002507.0
SRR039940	5.0331905131177095	1306600	45.86	75.40166341988434	45.0	74.0	25.0	25959677.0
SRR039948	4.893528138948335	602456	49.55	68.82070154060467	45.0	75.0	33.33333333333333	12311281.0
SRR039949	3.2255966767543804	622499	48.35	73.82939036131498	42.0	74.0	25.0	19298724.0
SRR039950	1.8954819260186082	286774	28.83	77.70682597965914	44.0	74.0	33.33333333333333	15129345.0
SRR039951	8.027863182547017	650465	37.23	75.41698175215768	46.0	75.0	33.33333333333333	8102592.0
SRR039952	5.154667213450044	797923	45.53	69.43041645354761	45.0	74.0	33.33333333333333	15479622.0
SRR042429	1.7281013420348206	526058	29.01	72.62633586924176	43.0	74.0	33.33333333333333	30441386.0
