Sample	unpaired_total	unpaired_aligned_none	unpaired_aligned_one	unpaired_aligned_multi	overall_alignment_rate
SRR039378	23511887	11808689	7785609	3917589	49.78
SRR039381	22901255	11471900	7588598	3840757	49.91
SRR039453	23916797	11897508	7923692	4095597	50.25
SRR039454	23539950	12125373	7335089	4079488	48.49
SRR039455	22913817	11801255	7148946	3963616	48.5
SRR039456	23752504	16911444	4617651	2223409	28.8
SRR039457	23402976	16650836	4588316	2163824	28.85
SRR039937	23758588	15124625	4402171	4231792	36.34
SRR039938	22976318	14635560	4243414	4097344	36.3
SRR039939	28002507	15235519	4919645	7847343	45.59
SRR039940	25959677	14054214	4544906	7360557	45.86
SRR039948	12311281	6210639	3884875	2215767	49.55
SRR039949	19298724	9968402	6104156	3226166	48.35
SRR039950	15129345	10767352	2944659	1417334	28.83
SRR039951	8102592	5085752	1426353	1590487	37.23
SRR039952	15479622	8432164	2710758	4336700	45.53
SRR042429	30441386	21610152	6094166	2737068	29.01
