Sample	no_feature	ambiguous	too_low_aQual	not_aligned	alignment_not_unique	assigned	total_count	percent_assigned
SRR039378	6711132	94049	0	11808689	3917589	980428	23511887	4.169924770393801
SRR039381	6529856	93986	0	11471900	3840757	964756	22901255	4.2126774275034276
SRR039453	6797386	91420	0	11897508	4095597	1034886	23916797	4.3270258973222875
SRR039454	6464236	78442	0	12125373	4079488	792411	23539950	3.3662390956650285
SRR039455	6299178	80265	0	11801255	3963616	769503	22913817	3.3582488679210454
SRR039456	4160116	25291	0	16911444	2223409	432244	23752504	1.8197828742603304
SRR039457	4138475	26960	0	16650836	2163824	422881	23402976	1.8069539532066348
SRR039937	2228870	234677	0	15124625	4231792	1938624	23758588	8.159676829279586
SRR039938	2154938	217693	0	14635560	4097344	1870783	22976318	8.142222787828755
SRR039939	3258280	257934	0	15235519	7847343	1403431	28002507	5.011804835902729
SRR039940	2959057	279249	0	14054214	7360557	1306600	25959677	5.0331905131177095
SRR039948	3195715	86704	0	6210639	2215767	602456	12311281	4.893528138948335
SRR039949	5418730	62927	0	9968402	3226166	622499	19298724	3.2255966767543804
SRR039950	2641196	16689	0	10767352	1417334	286774	15129345	1.8954819260186082
SRR039951	645239	130649	0	5085752	1590487	650465	8102592	8.027863182547017
SRR039952	1726924	185911	0	8432164	4336700	797923	15479622	5.154667213450044
SRR042429	5529561	38547	0	21610152	2737068	526058	30441386	1.7281013420348206
