gene	label
Tb05.5K5.240	 0
Tb11.v5.0482	 0
Tb11.v5.0537	 0
Tb11.v5.0538	 0
Tb11.v5.0671	 0
Tb11.v5.0754	 0
Tb11.v5.0777	 0
Tb927.1.750	 0
Tb927.10.10930	 0
Tb927.10.11070	 0
Tb927.10.11360	 0
Tb927.10.11610	 0
Tb927.10.12360	 0
Tb927.10.12940	 0
Tb927.10.14190	 0
Tb927.10.4720	 0
Tb927.10.5490	 0
Tb927.10.7220	 0
Tb927.11.10490	 0
Tb927.11.10850	 0
Tb927.11.13070	 0
Tb927.11.13410	 0
Tb927.11.13460	 0
Tb927.11.15640	 0
Tb927.11.16500	 0
Tb927.11.16880	 0
Tb927.11.17020	 0
Tb927.11.2640	 0
Tb927.11.3380	 0
Tb927.11.4540	 0
Tb927.11.6000	 0
Tb927.11.6960	 0
Tb927.11.9320	 0
Tb927.11.9480	 0
Tb927.11.9550	 0
Tb927.3.5120	 0
Tb927.4.1140	 0
Tb927.4.1280	 0
Tb927.4.2935	 0
Tb927.4.330	 0
Tb927.4.3310	 0
Tb927.4.3800	 0
Tb927.4.4130	 0
Tb927.4.5220	 0
Tb927.5.2010	 0
Tb927.6.2670	 0
Tb927.6.3350	 0
Tb927.7.5470	 0
Tb927.7.6800	 0
Tb927.8.4860	 0
Tb927.8.5420	 0
Tb927.8.5560	 0
Tb927.9.1410	 0
Tb927.9.1470	 0
Tb927.9.6010	 0
Tb927.9.6150	 0
Tb927.9.7810	 0
Tb927.9.8410	 0
Tb927.9.8720	 0
Tb05.5K5.180	 1
Tb06.3A7.960	 1
Tb07.11L3.100	 1
Tb09.v4.0017	 1
Tb09.v4.0064	 1
Tb09.v4.0152	 1
Tb11.1790	 1
Tb11.v5.0343	 1
Tb11.v5.0344	 1
Tb11.v5.0345	 1
Tb11.v5.0346	 1
Tb11.v5.0349	 1
Tb11.v5.0402	 1
Tb11.v5.0411	 1
Tb11.v5.0495	 1
Tb11.v5.0533	 1
Tb11.v5.0578	 1
Tb11.v5.0603	 1
Tb11.v5.0731	 1
Tb11.v5.0780	 1
Tb11.v5.0783	 1
Tb11.v5.0788	 1
Tb11.v5.0826	 1
Tb11.v5.0831	 1
Tb11.v5.0869	 1
Tb927.1.1060	 1
Tb927.1.1230	 1
Tb927.1.1540	 1
Tb927.1.2390	 1
Tb927.1.2580	 1
Tb927.1.2750	 1
Tb927.1.2760	 1
Tb927.1.2985	 1
Tb927.1.3030	 1
Tb927.1.3040	 1
Tb927.1.3130	 1
Tb927.1.3390	 1
Tb927.1.3400	 1
Tb927.1.3850	 1
Tb927.1.420	 1
Tb927.1.4380	 1
Tb927.1.4470	 1
Tb927.1.4650	 1
Tb927.1.4890	 1
Tb927.1.4900	 1
Tb927.1.4910	 1
Tb927.1.5100	 1
Tb927.1.5110	 1
Tb927.1.5120	 1
Tb927.1.5170	 1
Tb927.1.70	 1
Tb927.1.700	 1
Tb927.1.730	 1
Tb927.1.840	 1
Tb927.10.10110	 1
Tb927.10.10120	 1
Tb927.10.10180	 1
Tb927.10.10610	 1
Tb927.10.10720	 1
Tb927.10.10780	 1
Tb927.10.11030	 1
Tb927.10.11330	 1
Tb927.10.11400	 1
Tb927.10.1160	 1
Tb927.10.11930	 1
Tb927.10.11940	 1
Tb927.10.11980	 1
Tb927.10.12010	 1
Tb927.10.12100	 1
Tb927.10.12160	 1
Tb927.10.12200	 1
Tb927.10.12220	 1
Tb927.10.1250	 1
Tb927.10.12600	 1
Tb927.10.12800	 1
Tb927.10.12880	 1
Tb927.10.13090	 1
Tb927.10.13400	 1
Tb927.10.13620	 1
Tb927.10.1370	 1
Tb927.10.13700	 1
Tb927.10.13850	 1
Tb927.10.13920	 1
Tb927.10.14030	 1
Tb927.10.1410	 1
Tb927.10.14200	 1
Tb927.10.14310	 1
Tb927.10.14360	 1
Tb927.10.14640	 1
Tb927.10.14650	 1
Tb927.10.14660	 1
Tb927.10.14670	 1
Tb927.10.14890	 1
Tb927.10.14910	 1
Tb927.10.1500	 1
Tb927.10.15010	 1
Tb927.10.15033	 1
Tb927.10.15150	 1
Tb927.10.15440	 1
Tb927.10.15480	 1
Tb927.10.16140	 1
Tb927.10.1620	 1
Tb927.10.1710	 1
Tb927.10.1730	 1
Tb927.10.1770	 1
Tb927.10.1850	 1
Tb927.10.1860	 1
Tb927.10.200	 1
Tb927.10.2030	 1
Tb927.10.2270	 1
Tb927.10.2330	 1
Tb927.10.2410	 1
Tb927.10.2540	 1
Tb927.10.260	 1
Tb927.10.2620	 1
Tb927.10.2820	 1
Tb927.10.2830	 1
Tb927.10.2840	 1
Tb927.10.300	 1
Tb927.10.3040	 1
Tb927.10.3290	 1
Tb927.10.3360	 1
Tb927.10.3430	 1
Tb927.10.3610	 1
Tb927.10.3620	 1
Tb927.10.3630	 1
Tb927.10.3660	 1
Tb927.10.3710	 1
Tb927.10.3800	 1
Tb927.10.3880	 1
Tb927.10.3940	 1
Tb927.10.4040	 1
Tb927.10.4260	 1
Tb927.10.4520	 1
Tb927.10.4610	 1
Tb927.10.4660	 1
Tb927.10.4680	 1
Tb927.10.4760	 1
Tb927.10.4780	 1
Tb927.10.5640	 1
