gene_id	color	description
Tb04.3I12.100	tan	hypothetical protein
Tb05.30F7.410	brown	hypothetical protein
Tb05.5K5.110	grey60	"major vault protein, putative"
Tb05.5K5.130	lightgreen	"paraflagellar rod component par4, putative"
Tb05.5K5.140	blue	"Trypanosoma specific protein, unknown function"
Tb05.5K5.150	cyan	"small GTP-binding protein, putative"
Tb05.5K5.180	turquoise	"receptor-type adenylate cyclase GRESAG 4, putative"
Tb05.5K5.190	magenta	"receptor-type adenylate cyclase GRESAG 4, putative"
Tb05.5K5.20	darkturquoise	"hypothetical protein, conserved"
Tb05.5K5.200	orange	"guanine deaminase, putative"
Tb05.5K5.210	green	hypothetical protein
Tb05.5K5.220	green	hypothetical protein
Tb05.5K5.240	grey	"expression site-associated gene 3 (ESAG3) protein, putative"
Tb05.5K5.260	black	"variant surface glycoprotein (VSG), putative"
Tb05.5K5.70	brown	"nucleolar RNA helicase II, putative"
Tb05.5K5.90	cyan	"dynein light chain, putative"
Tb06.3A7.270	grey60	"hypothetical protein, conserved"
Tb06.3A7.960	turquoise	hypothetical protein
Tb07.11L3.100	turquoise	SUMO-interacting motif-containing protein
Tb07.11L3.90	brown	"zinc finger protein family member, putative"
Tb08.27P2.110	black	"PAP2 superfamily, putative"
Tb09.v4.0009	darkgrey	"receptor-type adenylate cyclase, putative"
Tb09.v4.0013	darkgreen	"retrotransposon hot spot (RHS) protein, putative"
Tb09.v4.0017	turquoise	"rab1 (small gtp-binding protein rab1, putative)"
Tb09.v4.0059	yellow	hypothetical protein
Tb09.v4.0060	red	hypothetical protein
Tb09.v4.0064	turquoise	hypothetical protein
Tb09.v4.0065	cyan	"expression site-associated gene 1 (ESAG 1), putative"
Tb09.v4.0066	brown	hypothetical protein
Tb09.v4.0151	darkgreen	hypothetical protein
Tb09.v4.0152	turquoise	hypothetical protein
Tb10.v4.0037	red	"hypothetical protein, conserved"
Tb10.v4.0128	orange	hypothetical protein
Tb10.v4.0215	brown	hypothetical protein
